Starting Adafruit TSL2591 Test!
Found a TSL2591 sensor
------------------------------------
Sensor:       TSL2591
Driver Ver:   1
Unique ID:    2591
Max Value:    88000.00 lux
Min Value:    0.00 lux
Resolution:   1.00 lux
------------------------------------

------------------------------------
Gain:         9876x (Max)
Timing:       100 ms
------------------------------------

[ 902 ms ] IR: 65389  Full: 1128  Visible: 1275  Lux: 4294967274
[ 1525 ms ] IR: 293  Full: 970  Visible: 677  Lux: 0
[ 2148 ms ] IR: 252  Full: 498  Visible: 246  Lux: 0
[ 2771 ms ] IR: 127  Full: 430  Visible: 303  Lux: 0
[ 3394 ms ] IR: 118  Full: 74  Visible: 65492  Lux: 0
[ 4018 ms ] IR: 27  Full: 76  Visible: 49  Lux: 0
[ 4640 ms ] IR: 27  Full: 95  Visible: 68  Lux: 0
[ 5263 ms ] IR: 26  Full: 409  Visible: 383  Lux: 0
[ 5886 ms ] IR: 193  Full: 109  Visible: 65452  Lux: 0
[ 6509 ms ] IR: 34  Full: 100  Visible: 66  Lux: 0
[ 7133 ms ] IR: 36  Full: 99  Visible: 63  Lux: 0
[ 7755 ms ] IR: 26  Full: 91  Visible: 65  Lux: 0
[ 8378 ms ] IR: 32  Full: 85  Visible: 53  Lux: 0
[ 9001 ms ] IR: 31  Full: 78  Visible: 47  Lux: 0
[ 9624 ms ] IR: 19  Full: 78  Visible: 59  Lux: 0
[ 10247 ms ] IR: 19  Full: 91  Visible: 72  Lux: 0
[ 10870 ms ] IR: 33  Full: 80  Visible: 47  Lux: 0
[ 11493 ms ] IR: 19  Full: 90  Visible: 71  Lux: 0
[ 12115 ms ] IR: 32  Full: 74  Visible: 42  Lux: 0
[ 12739 ms ] IR: 16  Full: 86  Visible: 70  Lux: 0
[ 13362 ms ] IR: 31  Full: 87  Visible: 56  Lux: 0
[ 13984 ms ] IR: 30  Full: 85  Visible: 55  Lux: 0
[ 14608 ms ] IR: 31  Full: 81  Visible: 50  Lux: 0
[ 15230 ms ] IR: 30  Full: 72  Visible: 42  Lux: 0
[ 15854 ms ] IR: 17  Full: 74  Visible: 57  Lux: 0
[ 16477 ms ] IR: 17  Full: 87  Visible: 70  Lux: 0
[ 17099 ms ] IR: 31  Full: 131  Visible: 100  Lux: 0
[ 17723 ms ] IR: 51  Full: 84  Visible: 33  Lux: 0
[ 18345 ms ] IR: 24  Full: 74  Visible: 50  Lux: 0
[ 18968 ms ] IR: 19  Full: 99  Visible: 80  Lux: 0
[ 19592 ms ] IR: 35  Full: 88  Visible: 53  Lux: 0
[ 20214 ms ] IR: 32  Full: 86  Visible: 54  Lux: 0
[ 20838 ms ] IR: 31  Full: 86  Visible: 55  Lux: 0
[ 21460 ms ] IR: 32  Full: 77  Visible: 45  Lux: 0
[ 22083 ms ] IR: 19  Full: 84  Visible: 65  Lux: 0
[ 22707 ms ] IR: 31  Full: 46  Visible: 15  Lux: 0
[ 23329 ms ] IR: 11  Full: 57  Visible: 46  Lux: 0
[ 23952 ms ] IR: 24  Full: 72  Visible: 48  Lux: 0
[ 24576 ms ] IR: 18  Full: 87  Visible: 69  Lux: 0
[ 25198 ms ] IR: 33  Full: 82  Visible: 49  Lux: 0
[ 25821 ms ] IR: 31  Full: 87  Visible: 56  Lux: 0
[ 26444 ms ] IR: 32  Full: 90  Visible: 58  Lux: 0
[ 27067 ms ] IR: 33  Full: 92  Visible: 59  Lux: 0
[ 27689 ms ] IR: 34  Full: 81  Visible: 47  Lux: 0
[ 28313 ms ] IR: 22  Full: 80  Visible: 58  Lux: 0
[ 28936 ms ] IR: 21  Full: 88  Visible: 67  Lux: 0
[ 29559 ms ] IR: 34  Full: 95  Visible: 61  Lux: 0
[ 30182 ms ] IR: 34  Full: 95  Visible: 61  Lux: 0
[ 30804 ms ] IR: 25  Full: 97  Visible: 72  Lux: 0
[ 31428 ms ] IR: 36  Full: 87  Visible: 51  Lux: 0
[ 32051 ms ] IR: 24  Full: 98  Visible: 74  Lux: 0
[ 32673 ms ] IR: 36  Full: 101  Visible: 65  Lux: 0
[ 33297 ms ] IR: 37  Full: 105  Visible: 68  Lux: 0
[ 33920 ms ] IR: 38  Full: 102  Visible: 64  Lux: 0
[ 34543 ms ] IR: 35  Full: 97  Visible: 62  Lux: 0
[ 35166 ms ] IR: 26  Full: 89  Visible: 63  Lux: 0
[ 35788 ms ] IR: 24  Full: 88  Visible: 64  Lux: 0
[ 36412 ms ] IR: 22  Full: 107  Visible: 85  Lux: 0
[ 37035 ms ] IR: 38  Full: 108  Visible: 70  Lux: 0
[ 37657 ms ] IR: 38  Full: 93  Visible: 55  Lux: 0
[ 38281 ms ] IR: 24  Full: 101  Visible: 77  Lux: 0
[ 38903 ms ] IR: 36  Full: 99  Visible: 63  Lux: 0
[ 39527 ms ] IR: 36  Full: 88  Visible: 52  Lux: 0
[ 40150 ms ] IR: 23  Full: 101  Visible: 78  Lux: 0
[ 40772 ms ] IR: 37  Full: 111  Visible: 74  Lux: 0
[ 41396 ms ] IR: 39  Full: 106  Visible: 67  Lux: 0
[ 42018 ms ] IR: 28  Full: 108  Visible: 80  Lux: 0
[ 42642 ms ] IR: 39  Full: 99  Visible: 60  Lux: 0
[ 43265 ms ] IR: 36  Full: 98  Visible: 62  Lux: 0
[ 43887 ms ] IR: 27  Full: 123  Visible: 96  Lux: 0
[ 44511 ms ] IR: 45  Full: 104  Visible: 59  Lux: 0
[ 45133 ms ] IR: 39  Full: 93  Visible: 54  Lux: 0
[ 45756 ms ] IR: 34  Full: 77  Visible: 43  Lux: 0
